,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7,0.0,0.0,0.0,0.0,linear,0.001,,1,"{'kernel': 'linear', 'gamma': 0.001, 'C': 1}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1
3,0.0,0.0,0.0,0.0,rbf,0.001,,100,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 100}",1.0,1.0,1.0,0.9583333333333334,0.9583333333333334,0.9833333333333334,0.02041241452319313,2
1,0.0,0.0,0.003124904632568359,0.0062498092651367175,sigmoid,0.001,4,100,"{'kernel': 'sigmoid', 'gamma': 0.001, 'degree': 4, 'C': 100}",0.9583333333333334,1.0,1.0,0.9583333333333334,0.9583333333333334,0.975,0.020412414523193135,3
4,0.0031247615814208986,0.006249523162841797,0.0,0.0,linear,,5,10,"{'kernel': 'linear', 'degree': 5, 'C': 10}",0.9583333333333334,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9666666666666668,0.031180478223116186,4
9,0.0,0.0,0.0,0.0,,1,,1,"{'gamma': 1, 'C': 1}",0.9583333333333334,1.0,1.0,0.9583333333333334,0.9166666666666666,0.9666666666666668,0.031180478223116186,4
5,0.0,0.0,0.003124713897705078,0.006249427795410156,linear,,4,100,"{'kernel': 'linear', 'degree': 4, 'C': 100}",0.9166666666666666,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9583333333333334,0.03726779962499651,6
6,0.0,0.0,0.0,0.0,linear,,3,1000,"{'kernel': 'linear', 'degree': 3, 'C': 1000}",0.9166666666666666,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9583333333333334,0.03726779962499651,6
8,0.0031248092651367187,0.006249618530273437,0.0031248092651367187,0.006249618530273437,sigmoid,0.0001,4,100,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'degree': 4, 'C': 100}",0.875,0.9166666666666666,0.875,0.875,0.9166666666666666,0.8916666666666666,0.020412414523193135,8
0,0.0062519550323486325,0.0076570526715275915,0.0,0.0,sigmoid,0.01,3,100,"{'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 3, 'C': 100}",0.875,0.7916666666666666,0.875,0.875,0.8333333333333334,0.85,0.03333333333333334,9
2,0.0031251430511474608,0.0062502861022949215,0.0,0.0,sigmoid,0.01,3,1000,"{'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 3, 'C': 1000}",0.8333333333333334,0.7916666666666666,0.7916666666666666,0.875,0.75,0.8083333333333332,0.042491829279939886,10
